event_id_no_cnty;event_date;event_type;actor1;inter1;actor2;inter2;country;location;fatalities
5242;27/09/2018;Strategic development;Government of South Sudan (2011-);1;Civilians (South Sudan);7;South Sudan;Juba;0
5243;27/09/2018;Battle-No change of territory;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;Military Forces of South Sudan (2011-);1;South Sudan;Mboro;0
5244;27/09/2018;Battle-No change of territory;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;Military Forces of South Sudan (2011-);1;South Sudan;Rojrojdong;0
5311;26/09/2018;Battle-No change of territory;Chukudum Communal Militia (South Sudan);4;Kidepo Valley Communal Militia (South Sudan);4;South Sudan;Chukudum;1
5312;26/09/2018;Strategic development;Chukudum Communal Militia (South Sudan);4;;0;South Sudan;Kidepo;0
5236;24/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Mundu;0
5237;24/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Koch;0
5238;24/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Mirmir;
5239;24/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Ngony;0
5240;24/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Wau;
5241;24/09/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Ikpiro;
5234;23/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Mundu;0
5235;23/09/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Torit;1
5247;21/09/2018;Strategic development;SSNMC: South Sudan National Movement for Change;2;SSNMC: South Sudan National Movement for Change (Splinter Faction);2;South Sudan;Juba;0
5232;19/09/2018;Battle-No change of territory;Unidentified Armed Group (South Sudan);3;Military Forces of South Sudan (2011-);1;South Sudan;Aluakluak;
5233;19/09/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Maridi;3
5231;17/09/2018;Violence against civilians;Aluakluak Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Rumbek;0
5228;15/09/2018;Battle-No change of territory;Police Forces of South Sudan (2011-) National Security Service;1;UNMISS: United Nations Mission in the Republic of South Sudan (2011-);8;South Sudan;Yei;
5267;15/09/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Atiabba;1
5226;14/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Mangalotore;0
5227;14/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Mundu;0
5230;14/09/2018;Battle-No change of territory;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;Military Forces of South Sudan (2011-);1;South Sudan;Yei;0
5224;13/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Kendiri;8
5525;13/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Mangalotore;7
5229;13/09/2018;Battle-No change of territory;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;Military Forces of South Sudan (2011-);1;South Sudan;Yei;0
5221;11/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Kendiri;0
5222;11/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Mangalotore;0
5223;11/09/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Rumbek;2
5220;10/09/2018;Strategic development;Government of South Sudan (2011-);1;;0;South Sudan;Juba;0
5219;08/09/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Munuki;0
5217;07/09/2018;Battle-No change of territory;Unidentified Armed Group (South Sudan);3;Munuki Communal Militia (South Sudan);4;South Sudan;Munuki;1
5218;07/09/2018;Strategic development;Government of South Sudan (2011-);1;Military Forces of South Sudan (2011-);1;South Sudan;Yambio;0
5213;06/09/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Akon;
5214;06/09/2018;Strategic development;Military Forces of South Sudan (2011-);1;;0;South Sudan;Juba;
5215;06/09/2018;Strategic development;Panawur Clan Dinka Ethnic Militia (South Sudan);4;Panaguong Clan Dinka Ethnic Militia (South Sudan);4;South Sudan;Cueibet;0
5216;06/09/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (Sudan);7;South Sudan;Ajakuac;1
5211;05/09/2018;Strategic development;Liech Communal Militia (South Sudan);4;;0;South Sudan;Koch;0
5212;05/09/2018;Battle-No change of territory;Turkana Ethnic Militia (Kenya);8;Toposa Ethnic Militia (South Sudan);4;South Sudan;Narus;26
5208;04/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Kendiri;0
5209;04/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Mangalotore;0
5210;04/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Kajo-Keji;0
5202;03/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Mabil;0
5203;03/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Kendiri;0
5204;03/09/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Mangalotore;0
5205;03/09/2018;Battle-Non-state actor overtakes territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Kopera;5
5206;03/09/2018;Battle-Non-state actor overtakes territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Jamara;5
5207;03/09/2018;Strategic development;UNMISS: United Nations Mission in the Republic of South Sudan (2011-);8;Civilians (South Sudan);7;South Sudan;Juba;0
5201;02/09/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Limbe;1
5197;30/08/2018;Strategic development;Government of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Juba;0
5198;30/08/2018;Strategic development;Government of South Sudan (2011-);1;Government of Ethiopia (1991-);8;South Sudan;Juba;0
5195;29/08/2018;Battle-Government regains territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Kopera;
5196;29/08/2018;Battle-Government regains territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Jamara;
5200;29/08/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Munuki;0
5194;27/08/2018;Strategic development;Government of South Sudan (2011-);1;Military Forces of South Sudan (2011-);1;South Sudan;Juba;0
5192;25/08/2018;Strategic development;SSPM/A: South Sudan Patriotic Movement/Army;2;;0;South Sudan;Juba;0
5193;25/08/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Torit;0
5191;24/08/2018;Strategic development;Boma Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Paliau;0
5190;23/08/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Torit;1
5187;22/08/2018;Strategic development;SS-UF: South Sudan-United Front;2;Police Forces of South Sudan (2011-) National Security Service;1;South Sudan;Juba;0
5188;22/08/2018;Riots/Protests;Rioters (South Sudan);5;Rioters (South Sudan);5;South Sudan;Juba;1
5189;22/08/2018;Violence against civilians;Boma Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Paliau;2
5184;21/08/2018;Battle-No change of territory;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;Military Forces of South Sudan (2011-);1;South Sudan;Kuerkulang;10
5185;21/08/2018;Battle-No change of territory;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;Military Forces of South Sudan (2011-);1;South Sudan;Bentiu;3
5186;21/08/2018;Strategic development;Murle Ethnic Militia (South Sudan);4;;0;South Sudan;Weykol;0
5181;19/08/2018;Battle-No change of territory;Unidentified Armed Group (South Sudan);3;Military Forces of South Sudan (2011-);1;South Sudan;Mogiri;3
5182;19/08/2018;Violence against civilians;Terekeka Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Gworolorongo;5
5183;19/08/2018;Strategic development;Government of South Sudan (2011-);1;SSUA-Gadet: Southern Sudan United Army (Gadet Faction);2;South Sudan;Juba;0
5180;15/08/2018;Strategic development;NDM: National Democratic Movement;2;;0;South Sudan;Kodok;0
5178;13/08/2018;Battle-No change of territory;Unidentified Armed Group (South Sudan);3;Military Forces of South Sudan (2011-);1;South Sudan;Keyala;0
5179;13/08/2018;Riots/Protests;Rioters (South Sudan);5;Rioters (South Sudan);5;South Sudan;Juba;0
5177;11/08/2018;Battle-No change of territory;Luanyjang Communal Militia (South Sudan);4;Jal Wau Communal Militia (South Sudan);4;South Sudan;Tonj;11
5199;11/08/2018;Violence against civilians;Haforiere Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Oguruny;1
5176;10/08/2018;Violence against civilians;Terekeka Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Gworolorongo;2
5175;09/08/2018;Battle-No change of territory;Luanyjang Communal Militia (South Sudan);4;Jal Wau Communal Militia (South Sudan);4;South Sudan;Tonj;2
5173;08/08/2018;Battle-No change of territory;Luanyjang Communal Militia (South Sudan);4;Jal Wau Communal Militia (South Sudan);4;South Sudan;Tonj;1
5174;08/08/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Yambio;0
5170;05/08/2018;Strategic development;Government of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Juba;0
5171;05/08/2018;Battle-No change of territory;Unidentified Armed Group (South Sudan);3;Mundari Communal Militia (South Sudan);4;South Sudan;Rokon;9
5172;05/08/2018;Violence against civilians;Terekeka Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Gworolorongo;7
5165;04/08/2018;Strategic development;NAS: National Salvation Front;2;NAS: National Salvation Front;2;South Sudan;Kajo-Keji;0
5166;04/08/2018;Battle-No change of territory;Dinka Ethnic Militia (South Sudan);4;Military Forces of South Sudan (2011-);1;South Sudan;Cueibet;5
5167;04/08/2018;Battle-No change of territory;Awan Ethnic Militia (South Sudan);4;Athok Ethnic Militia (South Sudan);4;South Sudan;Kongor;1
5168;04/08/2018;Battle-No change of territory;Unidentified Armed Group (South Sudan);3;Military Forces of South Sudan (2011-);1;South Sudan;Birindi;1
5169;04/08/2018;Violence against civilians;Police Forces of South Sudan (2011-);1;Civilians (South Sudan);7;South Sudan;Tonj;1
5163;31/07/2018;Violence against civilians;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;Civilians (South Sudan);7;South Sudan;Longamere;6
5164;31/07/2018;Violence against civilians;Military Forces of South Sudan (2011-);1;Civilians (South Sudan);7;South Sudan;Longamere;6
5162;30/07/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Torit;0
5160;29/07/2018;Battle-No change of territory;Lakes Communal Militia (South Sudan);4;Lakes Communal Militia (South Sudan);4;South Sudan;Adior;4
5161;29/07/2018;Battle-No change of territory;Lakes Communal Militia (South Sudan);4;Military Forces of South Sudan (2011-);1;South Sudan;Adior;0
5154;28/07/2018;Strategic development;Police Forces of South Sudan (2011-) National Security Service;1;Civilians (South Sudan);7;South Sudan;Juba;0
5153;27/07/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (Sudan);7;South Sudan;Bentiu;1
5159;27/07/2018;Violence against civilians;Terekeka Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Gworolorongo;4
5152;25/07/2018;Strategic development;Government of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Juba;0
5151;24/07/2018;Strategic development;Government of South Sudan (2011-);1;NAS: National Salvation Front (Lopanyang faction);2;South Sudan;Yei;0
5158;24/07/2018;Violence against civilians;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;Civilians (South Sudan);7;South Sudan;Logobero;0
5148;23/07/2018;Battle-No change of territory;Unidentified Armed Group (South Sudan);3;Military Forces of South Sudan (2011-);1;South Sudan;Mundri;1
5149;23/07/2018;Riots/Protests;Rioters (South Sudan);5;Civilians (International);7;South Sudan;Maban;0
5150;23/07/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Bentiu;1
5146;22/07/2018;Battle-No change of territory;Pakam Communal Militia (South Sudan);4;Unidentified Communal Militia (South Sudan);4;South Sudan;Yirol;4
5147;22/07/2018;Battle-No change of territory;Police Forces of South Sudan (2011-);1;Dinka Ethnic Militia (South Sudan);4;South Sudan;Abiriu;1
5142;20/07/2018;Battle-No change of territory;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;Military Forces of South Sudan (2011-);1;South Sudan;Mboro;0
