data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1899861,728,SSD5324,5324,2018-10-27,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),Students (South Sudan),7,37,Eastern Africa,South Sudan,Jonglei,Bor South,Makuac,Bor,6.2144,31.5620,2,Radio Tamazuj; Radio Miraya,National-Regional,"On October 27th, an unidentified group attacked a commercial vehicle travelling on the Juba-Bor road (coordinates for Bor, Joglei state, used). A student was wounded in the attack.",0,1541443581,SSD
1899860,728,SSD5323,5323,2018-10-27,2018,1,Battle-No change of territory,Dinka Ethnic Militia (South Sudan),,4,Police Forces of South Sudan (2011-),,1,14,Eastern Africa,South Sudan,Lakes,Cueibet,Rup,Abiriu,6.9218,29.4773,2,Radio Tamazuj; Eye Radio (South Sudan); Radio Miraya,National-Regional,"On October 27th, raiders described as ""Gelweng"" by a state-level minister (recorded here as a Dinka Ethnic Militia) attacked the village of Apero in Abiriu county (Lakes state), resulting in fighting with police. Four people died during the attack, including a policeman, and a further fifteen were injured (some reports say five killed, and 17 or 20 injured). The attackers also stole a large amount of cattle.",4,1541443581,SSD
1897512,728,SSD5320,5320,2018-10-26,2018,1,Battle-No change of territory,Military Forces of South Sudan (2011-),,1,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Central Equatoria,Kajo-Keji,Kangepo li,Kendiri,3.7951,31.3954,1,Sudan Tribune,Regional,"On October 26th, government SSPDF forces attacked SPLM-IO positions at Kendiri (Central Equatoria), according to the IO. The government has not responded to the claim.",0,1540834762,SSD
1899859,728,SSD5322,5322,2018-10-26,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,Radio Tamazuj; Radio Miraya,Regional,"On or around October 26th, three men gang-raped a 13 year-old girl as she gathered firewood with her younger sister, on the outskirts of Wau near the UNMISS base (Western Bahr el Ghazal). Police have arrested the suspects.",0,1541443581,SSD
1953952,728,SSD5319,5319,2018-10-25,2018,1,Strategic development,Government of South Sudan (2011-),Police Forces of South Sudan (2011-) National Security Service,1,Prisoners (South Sudan),SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,7,17,Eastern Africa,South Sudan,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Radio Miraya; Sudan Tribune,National-Regional,"On October 25th, the government released five prisoners being held in the NSS detention facility known as the Blue House on the outskirts of Juba (Central Equatoria). The released included Marko Lokidor Lochapio, an SPLM-IO governor who had reportedly been abducted whilst in Kenya. The move follows the release of 24 prisoners on October 19th, though several high-profile detainees remain in NSS custody.",0,1542040996,SSD
1897507,728,SSD5315,5315,2018-10-24,2018,1,Battle-No change of territory,Military Forces of South Sudan (2011-),,1,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Central Equatoria,Lainya,Otogo,Limuro,4.0964,31.1482,1,Sudan Tribune,Regional,"On October 24h, government SSPDF forces attacked SPLM-IO positions at Limuro (Central Equatoria), according to the IO. Civilians fled to Uganda. The government has not commented.",0,1540834762,SSD
1897508,728,SSD5316,5316,2018-10-24,2018,2,Battle-No change of territory,Military Forces of South Sudan (2011-),,1,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Civilians (South Sudan),2,12,Eastern Africa,South Sudan,Western Bahr el Ghazal,Wau,Bazia,Bazia,7.1300,27.8900,2,Sudan Tribune,Regional,"On or before October 24th, goverment attacked SPLM-IO positions in Bazia county (Western Bahr el Ghazal), according to the IO spokesman. There was no comment from the government.",0,1540834762,SSD
1897509,728,SSD5317,5317,2018-10-24,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Western Bahr el Ghazal,Wau,Udici,Wau,7.7180,28.0070,2,Sudan Tribune,Regional,"On or before October 24th, three civilians were abducted in the Ngovendeko area in Wau, whilst houses were looted and torched. The attack came amidst clashes between the government and SPLA-IO forces.",0,1540834762,SSD
1897510,728,SSD5318,5318,2018-10-24,2018,2,Battle-No change of territory,Military Forces of South Sudan (2011-),,1,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Civilians (South Sudan),2,12,Eastern Africa,South Sudan,Western Bahr el Ghazal,Wau,Udici,Bagari,7.6552,27.9726,2,Sudan Tribune,Regional,"On or before October 24th, government forces attacked SPLM-IO positions in Bagari county (Western Bahr el Ghazal), according to the IO spokesman. There was no comment from the government.",0,1540834762,SSD
1899858,728,SSD5321,5321,2018-10-24,2018,2,Battle-No change of territory,Western Jikany Nuer Ethnic Militia (South Sudan),,4,Western Jikany Nuer Ethnic Militia (South Sudan),Civilians (South Sudan),4,44,Eastern Africa,South Sudan,Unity,Koch,Guit,Koch,8.6048,29.9905,2,Radio Tamazuj; Radio Miraya,National-Regional,"During the week beginning October 22nd, two Western Jikany Nuer sub-clans clashed at an unspecified location in Guit county (Unity state). Two people were killed in the attack, one of whom was the deputy chief of the one of the sub-clans.",2,1541443581,SSD
1897506,728,SSD5314,5314,2018-10-22,2018,2,Battle-Non-state actor overtakes territory,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,FDP: Federal Democratic Party,,3,23,Eastern Africa,South Sudan,Upper Nile,Ulang,Wanding,Kotker,8.2833,33.1667,2,Sudan Tribune; Gurtong,National-Regional,"On or before October 22nd, the FDP accused the SPLM-IO of seizing their positions in Kotker (Upper Nile). There were no reports of casualties, though the FDP said two of their commanders were captured. The SPLM-IO denied that such an attack took place (claiming that the FDP do not have forces in the area), though acknowledged that they had arrested an individual for engaging in ""suspicious activities"" in Nasir.",0,1540834762,SSD
1897505,728,SSD5313,5313,2018-10-21,2018,1,Violence against civilians,Panyijiar Communal Militia (South Sudan),,4,Civilians (South Sudan),,7,47,Eastern Africa,South Sudan,Lakes,Yirol East,Ador,Adior,6.7906,30.7079,2,Radio Tamazuj,Regional,"On October 21st, armed raiders believed to have come from Panyijiar county attacked an unspecified location in Adior county (Lakes state). They abducted three children, and stole hundreds of cattle.",0,1540834762,SSD
1893139,728,SSD5310,5310,2018-10-17,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,3,Civilians (Kenya),Aid Workers (Kenya),7,37,Eastern Africa,South Sudan,Eastern Equatoria,Kapoeta South,Kapoeta,Kapoeta,4.7762,33.5829,1,Radio Tamazuj,Regional,"On October 17th, a Kenyan working for a local South Sudanese NGO was shot and wounded by unknown attackers in Kapoeta (Eastern Equatoria).",0,1540232100,SSD
1893135,728,SSD5306,5306,2018-10-16,2018,1,Riots/Protests,Protesters (South Sudan),Private Security Forces (South Sudan),6,UNMISS: United Nations Mission in the Republic of South Sudan (2011-),,8,68,Eastern Africa,South Sudan,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Eye Radio; Radio Miraya,National,"On October 16th, security guards employed by Warrior Security (recently acquired by Insight) protested in Juba, over unpaid benefits, a desire for increased wages, and the terms of the new contracts soon to be introduced as a result of the takeover. The guards locked the gates to the UNMISS compound in Juba.",0,1540232100,SSD
1893136,728,SSD5307,5307,2018-10-16,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,3,Civilians (Eritrea),,7,37,Eastern Africa,South Sudan,Eastern Equatoria,Kapoeta South,Kapoeta,Kapoeta,4.7762,33.5829,1,Radio Tamazuj,Regional,"On October 16th, gunmen shot and killed an Eritrean trader in Kapoeta (Eastern Equatoria) in his place of business. Two suspects have been arrested.",1,1540232100,SSD
1893137,728,SSD5308,5308,2018-10-16,2018,1,Battle-No change of territory,NAS: National Salvation Front,,2,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,22,Eastern Africa,South Sudan,Central Equatoria,Yei,Yei,Minori,4.1500,30.6200,1,Radio Tamazuj,Regional,"On October 15th and 16th, SPLM-IO and NAS forces continued to clash in Minori (Central Equatoria). 800 civilians are reported to have been displaced in the violence.",0,1540232100,SSD
1953951,728,SSD5309,5309,2018-10-16,2018,1,Strategic development,SSLM/A: South Sudan Liberation Movement/Army,,2,SSLM/A: South Sudan Liberation Movement/Army (Splinter Faction),,2,22,Eastern Africa,South Sudan,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Radio Tamazuj,Regional,"On October 16th, General Jacob Nyier (a commander in Bapiny Monytuil's SSLM/A rebellion) announced that he had taken control of the rebel group, with the support of unspecified members of the rebellion. Bapiny Monytuil denounced the move, and says he remains as leader of the group.",0,1542040996,SSD
1893134,728,SSD5305,5305,2018-10-15,2018,1,Battle-No change of territory,NAS: National Salvation Front,,2,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,22,Eastern Africa,South Sudan,Central Equatoria,Yei,Yei,Minori,4.1500,30.6200,1,Radio Tamazuj,Regional,"On October 15th and 16th, SPLM-IO and NAS forces continued to clash in Minori (Central Equatoria). 800 civilians are reported to have been displaced in the violence.",0,1540232100,SSD
1897198,728,SSD5298,5298,2018-10-14,2018,1,Battle-No change of territory,Military Forces of South Sudan (2011-),,1,Military Forces of South Sudan (2011-),,1,11,Eastern Africa,South Sudan,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Radio Tamazuj,Regional,"On October 14th, an intra-group clash between guards of the FVP Deng Gai left a soldier killed in the Tongping nieghbourhood of Juba (Central Equatoria). The FVP was not in the residence at the time. The violence was not related to the FVP himself.",1,1540834761,SSD
1893128,728,SSD5299,5299,2018-10-14,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Lakes,Eastern Bhar Naam,Aduel,Aduel,6.6267,29.8963,1,Eye Radio,National,"On October 14th, three civilians were reportedly killed in attack in Aduel (Lakes state). There are no further details, including information on the attackers.",3,1540232100,SSD
1893129,728,SSD5300,5300,2018-10-14,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Lakes,Yirol West,Aluakluak,Aluakluak,6.4801,30.1172,2,Eye Radio,National,"On October 14th, a man riding a motorbike was shot dead at an unspecified location on the road between Yirol and Aluakluak (coordinates for Aluaklauk, Lakes state, used).",1,1540232100,SSD
1893130,728,SSD5301,5301,2018-10-14,2018,1,Violence against civilians,Aluakluak Communal Militia (South Sudan),Herders (South Sudan),4,Civilians (South Sudan),,7,47,Eastern Africa,South Sudan,Lakes,Rumbek East,Paloc,Pagan,6.8153,30.1142,2,Radio Tamazuj,Regional,"On October 14th, an armed group - allegedly cattle raiders from Aluakluak - attacked and killed three people at an unspecified location in Paloc county (Lakes state, approximate coordinates for Pagan used based on humanitarian source).",3,1540232100,SSD
1893133,728,SSD5304,5304,2018-10-14,2018,1,Battle-No change of territory,Military Forces of South Sudan (2011-),,1,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Western Bahr el Ghazal,Wau,Udici,Bagari,7.6552,27.9726,2,Sudan Tribune; Radio Miraya,National-regional,"From October 3rd to October 14th, clashes between the SPLA and SPLM-IO took place in various locations in the vicinity of Wau (Western Bahr el Ghazal). Fighting was reported to have taken place in the villages of Bagari (approximate coordinates used), Ngisa, Tado, and Ngoku. An SPLM-IO spokesman said that military and civilian lives had been lost in the violence (10 fatalities spread over 12 battle events), whilst an SPLM-IO commander and his wife were abducted. Both sides accuse the other of being behind the hostilities.",0,1540232100,SSD
1893131,728,SSD5302,5302,2018-10-14,2018,1,Battle-No change of territory,NAS: National Salvation Front,,2,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,22,Eastern Africa,South Sudan,Central Equatoria,Yei,Yei,Logo,4.1400,30.5500,1,Sudan Tribune; Radio Tamazuj,Regional,"On October 14th, NAS and SPLM-IO forces clashed in Logo (Central Equatoria). The IO accused NAS forces of assaulting their positions, and of killing 12 ""worshippers"" at their base. The NAS denied attacking the IO forces.",12,1540232100,SSD
1893132,728,SSD5303,5303,2018-10-14,2018,1,Battle-No change of territory,NAS: National Salvation Front,,2,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,22,Eastern Africa,South Sudan,Central Equatoria,Yei,Yei,Minori,4.1500,30.6200,1,Sudan Tribune; Radio Tamazuj,Regional,"On October 14th, NAS and SPLM-IO clashed in Minori (Central Equatoria), resulting in five civilian deaths. Both sides accused one another of initiating the confrontation.",5,1540232100,SSD
1893120,728,SSD5291,5291,2018-10-13,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),Students (South Sudan),7,37,Eastern Africa,South Sudan,Lakes,Yirol West,Aluakluak,Aluakluak,6.4801,30.1172,1,Radio Tamazuj; Eye Radio,National-regional,"On October 13th, a group of armed men attacked a passenger vehicle in the area of Aluakluak (Lakes state) as it was travelling towards Rumbek. Two civilians were killed and one was wounded in the attack (all of whom were believed to be University students).",2,1540232100,SSD
1893122,728,SSD5293,5293,2018-10-13,2018,2,Battle-No change of territory,Kobura Clan Mundari Ethnic Militia (South Sudan),,4,Nyangwara Clan Mundari Ethnic Militia (South Sudan),,4,44,Eastern Africa,South Sudan,Central Equatoria,Terekeka,Terkeka,Terkeka,5.4390,31.7470,2,Radio Tamazuj,Regional,"On the weekend of 13th-14th October further clashes took place betweem the Kobura and Nyangwara sections of the Mundari tribe at an unspecified location in Terekaka (Central Equatoria). 22 people in total were killed in clashes over the past week (5 fatalities coded for this event, 17 across the three events from the previous week). Estimates for injuries vary, with higher estimates at between 30 and 36. Police have been deployed in the area.",5,1540232100,SSD
1893123,728,SSD5294,5294,2018-10-13,2018,1,Violence against civilians,Unidentified Communal Militia (South Sudan),Herders (South Sudan),4,Civilians (South Sudan),,7,47,Eastern Africa,South Sudan,Central Equatoria,Juba,Juba,Lokiliri,4.5455,31.9682,2,Radio Miraya,National,"On October 13th, three children were abducted by an unknown group (alleged to be herders) at Chalara village (Central Equatoria, coordinates for Lokiliri used). Authorities have begun a search for the missing children.",0,1540232100,SSD
1953950,728,SSD5295,5295,2018-10-13,2018,2,Strategic development,Unidentified Communal Militia (South Sudan),,4,Civilians (South Sudan),,7,47,Eastern Africa,South Sudan,Jonglei,Boma,Labarab,Labarab,6.6930,34.0067,2,Radio Miraya,National,"On the weekend of 13th-14th October, cattle raiders burned down over 700 dwellings in Boma state (in former Jonglei state), causing ""massive displacement"". This followed fighting between unspecified groups the previous week in Maruo (approximate coordinates for Labarab payam (Jonglei) have been used).",0,1542040996,SSD
1893125,728,SSD5296,5296,2018-10-13,2018,1,Riots/Protests,Rioters (South Sudan),Students (South Sudan),5,,,0,50,Eastern Africa,South Sudan,Lakes,Rumbek Centre,Kuei,Rumbek,6.8190,29.7000,1,Radio Miraya,National,"On October 13th, students numbering in their hundreds bloackaded roads in Rumbek (Lakes state) in protest against the killing of two University students earlier that day.",0,1540232100,SSD
1893126,728,SSD5297,5297,2018-10-13,2018,1,Battle-No change of territory,Military Forces of South Sudan (2011-),,1,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Western Bahr el Ghazal,Wau,Udici,Bagari,7.6552,27.9726,2,Sudan Tribune; Radio Miraya,National-regional,"From October 3rd to October 14th, clashes between the SPLA and SPLM-IO took place in various locations in the vicinity of Wau (Western Bahr el Ghazal). Fighting was reported to have taken place in the villages of Bagari (approximate coordinates used), Ngisa, Tado, and Ngoku. An SPLM-IO spokesman said that military and civilian lives had been lost in the violence (10 fatalities spread over 12 battle events), whilst an SPLM-IO commander and his wife were abducted. Both sides accuse the other of being behind the hostilities.",0,1540232100,SSD
1953949,728,SSD5292,5292,2018-10-13,2018,1,Strategic development,Unidentified Armed Group (South Sudan),Military Forces of South Sudan (2011-),3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Lakes,Yirol East,Ador,Shambe,7.1029,30.7691,2,Radio Tamazuj; Eye Radio,National-regional,"On October 13th, gunmen boarded a commercial boat travelling to Bor, either at Shambe or in the area Gedakwet (different locations provided in different sources. Coordinates for Shambe, Lakes State, have been used). The attackers looted up to 7 million SSP from the passengers, although nobody was reported injured in the incident. As of Oct 18th four people in total had been apprehended (along with at least some of the stolen money), two of whom were reported to be soldiers.",0,1542040996,SSD
1893119,728,SSD5290,5290,2018-10-12,2018,1,Battle-No change of territory,Military Forces of South Sudan (2011-),,1,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Western Bahr el Ghazal,Wau,Udici,Bagari,7.6552,27.9726,2,Sudan Tribune; Radio Miraya,National-regional,"From October 3rd to October 14th, clashes between the SPLA and SPLM-IO took place in various locations in the vicinity of Wau (Western Bahr el Ghazal). Fighting was reported to have taken place in the villages of Bagari (approximate coordinates used), Ngisa, Tado, and Ngoku. An SPLM-IO spokesman said that military and civilian lives had been lost in the violence (10 fatalities spread over 12 battle events), whilst an SPLM-IO commander and his wife were abducted. Both sides accuse the other of being behind the hostilities.",1,1540232100,SSD
1889591,728,SSD5266,5266,2018-10-11,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Jonglei,Bor South,Makuac,Bor,6.2144,31.5620,2,Radio Tamazuj; Radio Miraya,National-Regional,"On October 11th, a passenger bus travelling along the Bor-Juba road was ambushed at Malithtor in Bor South county (coordinates for Bor, Jonglei state, used). Two passengers were killed, and at least four wounded. The driver of the bus claimed that the attackers were wearing South Sudan Defence Force uniforms, though it is unclear if it relates to the militia or the new name of the SPLA - South Sudan's People's Defence Force).",2,1539635469,SSD
1892755,728,SSD5262,5262,2018-10-11,2018,1,Battle-No change of territory,Kobura Clan Mundari Ethnic Militia (South Sudan),,4,Nyangwara Clan Mundari Ethnic Militia (South Sudan),,4,44,Eastern Africa,South Sudan,Central Equatoria,Terekeka,Terkeka,Terkeka,5.4390,31.7470,2,Radio Miraya; Eye Radio; Xinhua; Radio Tamazuj,National-International,"On three days between October 8th - 11th (coded here as the 8th, 9th, and 11th), clashes took place between the Nyangwara and Kabura sections of the Mundari ethnic group over cattle at various locations in Terekaka, Central Equatoria (Gworo county is mentioned in one source, and the road between Yirol and Terekaka in another). At least 17 people were killed in the clashes (with 4 confirmed killed on the 8th; remaining fatalities are spread across the remaining events), with similar numbers being lost on each side. Between 30 and 36 people are reported to have been injured in the clashes.",6,1540232100,SSD
1893118,728,SSD5289,5289,2018-10-11,2018,1,Battle-No change of territory,Military Forces of South Sudan (2011-),,1,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Western Bahr el Ghazal,Wau,Udici,Bagari,7.6552,27.9726,2,Sudan Tribune; Radio Miraya,National-regional,"From October 3rd to October 14th, clashes between the SPLA and SPLM-IO took place in various locations in the vicinity of Wau (Western Bahr el Ghazal). Fighting was reported to have taken place in the villages of Bagari (approximate coordinates used), Ngisa, Tado, and Ngoku. An SPLM-IO spokesman said that military and civilian lives had been lost in the violence (10 fatalities spread over 12 battle events), whilst an SPLM-IO commander and his wife were abducted. Both sides accuse the other of being behind the hostilities.",1,1540232100,SSD
1889590,728,SSD5265,5265,2018-10-10,2018,1,Battle-No change of territory,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,Military Forces of South Sudan (2011-),,1,12,Eastern Africa,South Sudan,Unity,Koch,Guit,Koch,8.6048,29.9905,2,Radio Tamazuj,Regional,"On October 10th, the government of Northern Liech state (part of former Unity state) accused SPLM-IO forces of attacking SPLA forces at an unspecified location in Koch County (Unity), killing one SPLA soldier, and injuring three. The IO forces were, according to the Northern Liech information minister, seeking to loot civilians in the area. The deputy spokesman of the IO denied knowledge of the incident.",1,1539635469,SSD
1953948,728,SSD5268,5268,2018-10-10,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Lakes,Rumbek East,Alamtoch West,Tit Agok,6.5451,30.0281,2,Good News Radio,Subnational,"Early October (source dated Oct 19th mentioning the event taking place at a recent time) a 14 year-old girl was abducted in Tit Agok (Lakes state, approximate coordinates used based on humanitarian source) by unknown attackers.",0,1542040996,SSD
1953947,728,SSD5286,5286,2018-10-10,2018,2,Violence against civilians,Unidentified Communal Militia (South Sudan),,4,Civilians (South Sudan),,7,47,Eastern Africa,South Sudan,Jonglei,Boma,Labarab,Labarab,6.6930,34.0067,2,Radio Miraya,National,"During the week beginning Monday 8th October, 12 people were abducted as part of inter-communal violence in Maruo Boma state (in the former Jonglei state). Approximate coordinates for Labarab (Jonglei) have been used based on humanitarian source.",0,1542040996,SSD
1893116,728,SSD5287,5287,2018-10-10,2018,2,Battle-No change of territory,Unidentified Communal Militia (South Sudan),,4,Unidentified Communal Militia (South Sudan),,4,44,Eastern Africa,South Sudan,Jonglei,Boma,Labarab,Labarab,6.6930,34.0067,2,Radio Miraya,National,"During the week beginning Monday 8th October, a clash between two unpsecified communal forces occurred in Boma state (in the former Jonglei state), resulting in 12 injuries, as well as 12 abductions. The fighting took place in Maruo (n.b. a different source spells the location Marwol and Marol), and approximate coordinates for Labarab (Jonglei) have been used based on humanitarian source.",0,1540232100,SSD
1893117,728,SSD5288,5288,2018-10-10,2018,1,Battle-No change of territory,Military Forces of South Sudan (2011-),,1,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Western Bahr el Ghazal,Wau,Udici,Bagari,7.6552,27.9726,2,Sudan Tribune; Radio Miraya,National-regional,"From October 3rd to October 14th, clashes between the SPLA and SPLM-IO took place in various locations in the vicinity of Wau (Western Bahr el Ghazal). Fighting was reported to have taken place in the villages of Bagari (approximate coordinates used), Ngisa, Tado, and Ngoku. An SPLM-IO spokesman said that military and civilian lives had been lost in the violence (10 fatalities spread over 12 battle events), whilst an SPLM-IO commander and his wife were abducted. Both sides accuse the other of being behind the hostilities.",1,1540232100,SSD
